year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1950,9,7,23.45,23.3,39.57,11.3,14.4,26.95,2.98,8.9,21.79
1950,11,26,3.24,0,34.84,-14.83,-8.9,24.17,-1.35,8.9,30.09
1951,2,2,0.19,24.4,34.6,-15.19,-7.2,21.47,-1.41,31.6,29.93
1951,11,4,8.5,8.3,35.72,-10.39,-1.1,25.28,-1.22,9.4,30.55
1952,7,25,26.81,40.6,39.94,15.53,20,26.48,4.79,20.6,19.96
1952,8,25,25.2,25,39.15,12.36,15.6,27.48,3.24,9.4,21.27
1952,10,9,16.73,15.6,36.52,-0.75,11.1,27.66,0.2,4.5,26.14
1952,10,22,12.36,8.9,36.82,-4.82,0.6,25.04,-0.01,8.3,28.96
1953,6,2,22.71,38.3,40.5,7.98,13.9,26.42,4.81,24.4,24
1953,7,11,25.53,30,41.12,14.91,13.9,26.24,5.13,16.1,20.37
1955,3,27,9.53,26.7,37.21,-7.98,-3.9,26.41,-0.6,30.6,28.91
1955,6,16,21.89,21.1,42.47,10.41,12.8,27.37,3.58,8.3,23.01
1956,4,12,13.12,12.2,36.72,-4.05,6.1,24.13,1.07,6.1,28.71
1956,9,27,17.52,15.6,39.44,6.51,12.2,27.19,-1.43,3.4,24.69
1957,5,5,17.48,13.3,39.07,1.66,6.7,24.77,2.84,6.6,27.27
1957,7,29,26.19,25.6,40.7,14.99,19.4,27.24,4.15,6.2,20.51
1957,9,29,17.87,16.7,39.21,3.57,13.9,28.87,-0.14,2.8,24.77
1958,6,24,24.35,22.2,42.25,12.66,18.3,27.38,3.85,3.9,22.7
1958,10,3,17.23,15,38.41,1.26,11.7,27.58,0.58,3.3,26.23
1958,10,4,17.86,16.7,38,1.13,12.8,27.46,1.59,3.9,25.69
1958,12,12,0.7,0.6,32.94,-14,-9.4,20.96,0.24,10,26.45
1960,3,12,4.52,3.3,38.69,-8.94,-2.2,21.91,0.64,5.5,29.6
1961,6,17,22.3,18.3,41.94,11.77,14.4,26.74,3.44,3.9,22.29
1961,6,18,21.38,17.8,43.23,11.8,14.4,26.06,2.93,3.4,23.82
1961,9,19,20.52,18.3,39.65,6.99,16.1,27.9,2.02,2.2,23.27
1962,9,22,20.48,18.9,40,7.72,15.6,26.45,2.77,3.3,23.46
1963,5,2,17.99,20,38.22,0.99,0.6,24.85,3.08,19.4,27.29
1963,5,24,20.25,19.4,41.06,5.32,14.4,27.16,1.5,5,27.33
1963,6,20,22.91,22.2,41.83,12.76,20,26.24,3.49,2.2,22.26
1963,6,25,24.79,23.3,41.45,13.38,20.6,26.79,4.23,2.7,21.84
1963,6,27,23.94,23.9,41.27,13.45,20.6,26.8,2.7,3.3,22.27
1964,7,6,25.4,29.4,40.76,14.37,13.3,26.19,4.93,16.1,20.68
1964,7,18,25.74,24.4,40.52,14.18,20.6,27.56,3.95,3.8,20.56
1964,8,30,23.3,25,40.7,13.67,21.7,26.01,3.37,3.3,20.94
1964,9,14,20.9,18.3,40.16,7.99,11.7,28.42,1.2,6.6,23.45
1966,1,31,-0.51,-3.3,33.9,-15.25,-11.1,20.03,0.13,7.8,28.48
1966,6,13,22.35,30.6,41.57,11.33,11.1,26.78,2.33,19.5,23.48
1966,7,1,25.9,26.1,40.77,13.92,21.1,26.5,5.11,5,21.15
1967,5,23,19.45,14.4,41.26,5.84,11.1,26.72,1.67,3.3,26.48
1967,6,2,22.71,21.1,40.5,7.98,12.8,26.42,4.81,8.3,24
1967,7,17,26.24,26.7,40.06,14.9,13.3,26.72,4.28,13.4,20.39
1967,8,12,24.87,20,40.95,14.82,18.3,26.6,3.11,1.7,21.29
1967,8,13,25.67,25,39.93,14.65,16.1,26.93,4.64,8.9,19.38
1967,9,1,24.44,23.3,39.66,12.34,17.8,26.61,3.45,5.5,21.7
1968,1,12,-0.95,-1.7,33.02,-17.38,-4.4,21.83,-2.19,2.7,29.81
1968,8,24,25.13,40,39.77,12.66,22.8,27.48,3.81,17.2,20.94
1968,11,9,9.64,9.4,33.85,-9.77,3.3,22.71,0.36,6.1,30.19
